180.244.234.138 - - "2018-02-02 01:30:49" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0"
133.130.102.240 - - "2018-02-02 01:36:21" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"
34.224.4.72 - - "2018-02-02 04:23:15" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 04:25:27" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 04:25:58" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 04:32:29" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.79.70 bot - "2018-02-02 04:35:11" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
34.224.4.72 - - "2018-02-02 04:36:12" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 04:36:43" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.79.70 bot - "2018-02-02 04:39:18" http://proust.ui.ac.id/index.php/journal/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
34.224.4.72 - - "2018-02-02 04:53:22" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 04:55:46" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 05:02:37" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 05:07:24" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
192.3.203.56 - - "2018-02-02 05:34:42" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; Media Center PC 6.0; InfoPath.2; MS-RTC LM 8"
34.224.4.72 - - "2018-02-02 08:45:00" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 08:47:05" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 08:47:36" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:00:28" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:02:32" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:03:03" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:07:13" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:10:50" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:11:21" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:25:16" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:25:47" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 09:30:47" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
123.125.71.49 bot - "2018-02-02 09:37:37" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
34.224.4.72 - - "2018-02-02 09:54:27" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 10:43:57" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 10:46:13" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 10:46:55" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.224.4.72 - - "2018-02-02 10:52:30" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
